4.463 sec (frame 107, diff=23.79)
5.422 sec (frame 130, diff=36.68)
5.464 sec (frame 131, diff=36.71)
6.423 sec (frame 154, diff=30.52)
11.136 sec (frame 267, diff=39.33)
11.762 sec (frame 282, diff=46.13)
12.137 sec (frame 291, diff=41.19)
13.096 sec (frame 314, diff=17.14)
17.226 sec (frame 413, diff=59.18)
17.392 sec (frame 417, diff=52.03)
18.352 sec (frame 440, diff=24.30)
20.479 sec (frame 491, diff=21.32)
22.105 sec (frame 530, diff=20.76)
22.147 sec (frame 531, diff=20.80)
28.946 sec (frame 694, diff=16.38)
35.118 sec (frame 842, diff=19.63)
35.285 sec (frame 846, diff=20.32)
38.497 sec (frame 923, diff=50.77)
38.872 sec (frame 932, diff=57.77)
39.498 sec (frame 947, diff=35.98)
41.375 sec (frame 992, diff=84.06)
41.625 sec (frame 998, diff=92.06)
42.376 sec (frame 1016, diff=60.85)
44.211 sec (frame 1060, diff=41.03)
44.544 sec (frame 1068, diff=35.47)
46.672 sec (frame 1119, diff=44.08)
46.838 sec (frame 1123, diff=42.85)
47.798 sec (frame 1146, diff=35.48)
49.841 sec (frame 1195, diff=38.09)
51.093 sec (frame 1225, diff=50.87)
51.260 sec (frame 1229, diff=52.41)
53.011 sec (frame 1271, diff=29.46)
53.178 sec (frame 1275, diff=34.23)
54.763 sec (frame 1313, diff=17.40)
56.473 sec (frame 1354, diff=29.04)
57.432 sec (frame 1377, diff=50.19)
57.516 sec (frame 1379, diff=52.71)
58.433 sec (frame 1401, diff=41.40)
59.393 sec (frame 1424, diff=24.85)
62.771 sec (frame 1505, diff=42.48)
63.730 sec (frame 1528, diff=72.94)
63.939 sec (frame 1533, diff=74.50)
64.731 sec (frame 1552, diff=41.39)
66.608 sec (frame 1597, diff=65.50)
66.733 sec (frame 1600, diff=66.26)
67.609 sec (frame 1621, diff=51.98)
68.819 sec (frame 1650, diff=40.55)
69.528 sec (frame 1667, diff=26.78)
80.581 sec (frame 1932, diff=33.18)
81.039 sec (frame 1943, diff=37.68)
81.581 sec (frame 1956, diff=36.62)
83.458 sec (frame 2001, diff=25.79)
84.418 sec (frame 2024, diff=46.01)
85.377 sec (frame 2047, diff=73.06)
85.419 sec (frame 2048, diff=72.25)
86.378 sec (frame 2071, diff=46.54)
88.255 sec (frame 2116, diff=83.18)
88.630 sec (frame 2125, diff=101.86)
89.256 sec (frame 2140, diff=77.20)
90.215 sec (frame 2163, diff=38.33)
121.913 sec (frame 2923, diff=24.80)
122.164 sec (frame 2929, diff=26.98)
125.417 sec (frame 3007, diff=22.00)
125.625 sec (frame 3012, diff=22.32)
126.418 sec (frame 3031, diff=18.40)
130.339 sec (frame 3125, diff=24.06)
130.797 sec (frame 3136, diff=24.43)
131.340 sec (frame 3149, diff=21.25)
134.676 sec (frame 3229, diff=19.00)
136.928 sec (frame 3283, diff=49.27)
137.137 sec (frame 3288, diff=55.07)
137.929 sec (frame 3307, diff=40.55)
139.890 sec (frame 3354, diff=58.92)
140.432 sec (frame 3367, diff=71.13)
140.891 sec (frame 3378, diff=55.98)
141.850 sec (frame 3401, diff=25.22)
145.520 sec (frame 3489, diff=31.43)
145.604 sec (frame 3491, diff=31.47)
146.521 sec (frame 3513, diff=28.21)
149.941 sec (frame 3595, diff=22.80)
149.983 sec (frame 3596, diff=22.79)
157.699 sec (frame 3781, diff=26.10)
157.991 sec (frame 3788, diff=26.97)
158.700 sec (frame 3805, diff=17.71)
161.453 sec (frame 3871, diff=16.71)
169.378 sec (frame 4061, diff=34.62)
169.628 sec (frame 4067, diff=35.56)
171.588 sec (frame 4114, diff=15.74)
173.382 sec (frame 4157, diff=19.17)
175.717 sec (frame 4213, diff=20.67)
177.636 sec (frame 4259, diff=44.85)
178.220 sec (frame 4273, diff=70.69)
178.637 sec (frame 4283, diff=62.17)
179.596 sec (frame 4306, diff=38.91)
182.682 sec (frame 4380, diff=20.93)
183.266 sec (frame 4394, diff=21.65)
183.683 sec (frame 4404, diff=20.68)
186.937 sec (frame 4482, diff=22.99)
186.978 sec (frame 4483, diff=23.01)
187.938 sec (frame 4506, diff=17.74)
190.732 sec (frame 4573, diff=60.13)
191.691 sec (frame 4596, diff=105.56)
191.817 sec (frame 4599, diff=111.52)
192.692 sec (frame 4620, diff=72.45)
193.652 sec (frame 4643, diff=25.93)
